X,movie,total_gross,Critic_Pick,Review_url
86,Sweet Home Alabama,65334029,0,http://www.nytimes.com/movie/review?res=9E0DE6D71139F934A1575AC0A9649C8B63
87,Girls Trip,65085525,0,http://www.nytimes.com/2017/07/19/movies/girls-trip-review-dargis-queen-latifah-regina-hall-tiffany-haddish-jada-pinkett-smith.html
88,Madea Goes To Jail,64525548,0,http://www.nytimes.com/2009/02/21/movies/21made.html
89,The Good Dinosaur,63826024,1,http://www.nytimes.com/2015/11/25/movies/review-the-good-dinosaur-pixar-human-and-apatosaurus.html
90,The Devil Wears Prada,63110544,0,http://www.nytimes.com/2006/06/30/movies/30devi.html
91,The Green Hornet,63018808,0,http://www.nytimes.com/2011/01/14/movies/14green.html
92,Couples Retreat,62617735,0,http://www.nytimes.com/2009/10/09/movies/09couples.html
93,The Sum of All Fears,62314003,0,http://www.nytimes.com/movie/review?res=9D05E6DF163AF932A05756C0A9649C8B63
94,Jackass Presents: Bad Grandpa,61568639,0,http://www.nytimes.com/2013/10/25/movies/jackass-presents-bad-grandpa-with-more-pranks.html
95,The Magnificent Seven,61532784,0,http://www.nytimes.com/2016/09/23/movies/magnificent-seven-review-denzel-washington.html
96,The Scorpion King,61313785,0,http://www.nytimes.com/movie/review?res=9C05E5DE143FF93AA25757C0A9649C8B63
97,Bringing Down the House,61287160,0,http://www.nytimes.com/movie/review?res=9E0CE0DD133FF934A35750C0A9659C8B63
98,Blade Runner 2049,60970631,0,http://www.nytimes.com/2017/10/02/movies/blade-runner-2049-review-ryan-gosling-harrison-ford.html
99,The Book of Eli,60735686,0,http://www.nytimes.com/2010/01/15/movies/15eli.html
100,Horrible Bosses,60149603,0,http://www.nytimes.com/2011/07/08/movies/horrible-bosses-with-jason-bateman-review.html
101,Bad Teacher,59952563,0,http://www.nytimes.com/2011/06/24/movies/cameron-diaz-in-bad-teacher-review.html
102,Bridesmaids,59341310,1,http://www.nytimes.com/2011/05/13/movies/bridesmaids-with-kristen-wiig-maya-rudolph-review.html
103,Terminator: Genisys,59024288,0,http://www.nytimes.com/2015/07/01/movies/review-terminator-genisys-shows-that-arnold-schwarzenegger-is-most-assuredly-back.html
104,Due Date,58897308,0,http://www.nytimes.com/2010/11/05/movies/05due.html
105,Norbit,58858009,0,http://www.nytimes.com/2007/02/09/movies/09norb.html
106,Crazy Rich Asians,58829051,0,http://www.nytimes.com/2018/08/14/movies/crazy-rich-asians-review.html
107,Wrath of the Titans,58614212,0,http://www.nytimes.com/2012/03/30/movies/wrath-of-the-titans-starring-sam-worthington.html
108,Ride Along 2,58606090,0,http://www.nytimes.com/2016/01/15/movies/review-ride-along-2-reloads-twin-barrels-of-ice-cube-and-kevin-hart.html
109,Ted 2,58500630,0,http://www.nytimes.com/2015/06/26/movies/review-in-ted-2-the-foulmouthed-bear-tries-to-prove-hes-human.html
110,The Help,57160712,0,http://www.nytimes.com/2011/08/10/movies/the-help-spans-two-worlds-white-and-black-review.html
111,Edge of Tomorrow,57001698,0,http://www.nytimes.com/2014/06/06/movies/tom-cruise-battles-invaders-in-edge-of-tomorrow.html
112,The Departed,56985185,1,http://www.nytimes.com/2006/10/06/movies/06depa.html
113,Beowulf,56633821,0,http://www.nytimes.com/2007/11/16/movies/16beow.html
114,Erin Brockovich,55854440,0,http://www.nytimes.com/movie/review?res=9805EED8163AF934A25750C0A9669C8B63
115,He's Just Not That Into You,54986933,0,http://www.nytimes.com/2009/02/06/movies/06into.html
116,The Pursuit of Happyness,53300000,0,http://www.nytimes.com/2006/12/15/movies/15happ.html
117,John Carter,53227248,0,http://www.nytimes.com/2012/03/09/movies/john-carter-with-taylor-kitsch-and-lynn-collins.html
118,Non-Stop,52568530,0,http://www.nytimes.com/2014/02/28/movies/non-stop-with-liam-neeson-lives-up-to-its-title.html
