X,movie,Critic_Pick,Review_url,negative,positive,sentiment
83,Paranormal Activity 2,0,http://www.nytimes.com/2010/10/23/movies/23para.html,19,5,negative
84,Epic,0,http://www.nytimes.com/2013/05/24/movies/epic-directed-by-chris-wedge.html,28,14,negative
85,The Expendables,0,http://www.nytimes.com/2010/08/13/movies/13expendables.html,35,23,negative
86,Sweet Home Alabama,0,http://www.nytimes.com/movie/review?res=9E0DE6D71139F934A1575AC0A9649C8B63,28,41,positive
87,Girls Trip,0,http://www.nytimes.com/2017/07/19/movies/girls-trip-review-dargis-queen-latifah-regina-hall-tiffany-haddish-jada-pinkett-smith.html,34,23,negative
88,Madea Goes To Jail,0,http://www.nytimes.com/2009/02/21/movies/21made.html,19,16,negative
89,The Good Dinosaur,1,http://www.nytimes.com/2015/11/25/movies/review-the-good-dinosaur-pixar-human-and-apatosaurus.html,40,31,negative
90,The Devil Wears Prada,0,http://www.nytimes.com/2006/06/30/movies/30devi.html,66,49,negative
91,The Green Hornet,0,http://www.nytimes.com/2011/01/14/movies/14green.html,29,34,positive
92,Couples Retreat,0,http://www.nytimes.com/2009/10/09/movies/09couples.html,36,11,negative
93,The Sum of All Fears,0,http://www.nytimes.com/movie/review?res=9D05E6DF163AF932A05756C0A9649C8B63,55,25,negative
94,Jackass Presents: Bad Grandpa,0,http://www.nytimes.com/2013/10/25/movies/jackass-presents-bad-grandpa-with-more-pranks.html,7,3,negative
95,The Magnificent Seven,0,http://www.nytimes.com/2016/09/23/movies/magnificent-seven-review-denzel-washington.html,33,26,negative
96,The Scorpion King,0,http://www.nytimes.com/movie/review?res=9C05E5DE143FF93AA25757C0A9649C8B63,47,14,negative
97,Bringing Down the House,0,http://www.nytimes.com/movie/review?res=9E0CE0DD133FF934A35750C0A9659C8B63,32,25,negative
98,Blade Runner 2049,0,http://www.nytimes.com/2017/10/02/movies/blade-runner-2049-review-ryan-gosling-harrison-ford.html,40,41,positive
99,The Book of Eli,0,http://www.nytimes.com/2010/01/15/movies/15eli.html,35,18,negative
100,Horrible Bosses,0,http://www.nytimes.com/2011/07/08/movies/horrible-bosses-with-jason-bateman-review.html,75,25,negative
101,Bad Teacher,0,http://www.nytimes.com/2011/06/24/movies/cameron-diaz-in-bad-teacher-review.html,45,33,negative
102,Bridesmaids,1,http://www.nytimes.com/2011/05/13/movies/bridesmaids-with-kristen-wiig-maya-rudolph-review.html,45,35,negative
103,Terminator: Genisys,0,http://www.nytimes.com/2015/07/01/movies/review-terminator-genisys-shows-that-arnold-schwarzenegger-is-most-assuredly-back.html,30,24,negative
104,Due Date,0,http://www.nytimes.com/2010/11/05/movies/05due.html,42,14,negative
